ServerName       ShareName    UserName         ComputerName         ActiveTime       OpenFiles
AMBSCMSEC01      Packages$    dumonl           7.26.138.241         31189            1
AMDSCMSEC01      Packages$    e0261901         10.69.35.68          2103             1
BOMSCMSEC01      Packages$    E0257435         7.40.125.25          14457            1
BRISCMSEC01      Packages$    IT800048         7.26.196.9           5379             1
CAMSCMSEC02      Packages$    E0257034         10.2.202.98          1074             1
CAMSCMSEC02      Packages$    drani01          7.34.8.170           844              1
CAMSCMSEC02      Packages$    I0158200         10.2.94.243          1991             1
CAMSCMSEC02      Packages$    khaha01          157.206.253.161      4357             1
CAMSCMSEC02      Packages$    NM56587          10.2.94.242          2891             1
CAMSCMDP01       Packages$    BESAN01          157.206.253.163      28871            0
CAMSCMDP01       Packages$    flesc01          10.2.202.79          29124            1
CAMSCMDP01       Packages$    nm66688          10.1.109.176         30970            1
CAMSCMDP01       Packages$    bolme01          10.2.93.174          30798            1
CAMSCMDP01       Packages$    CR-LAB-Unicorn   155.65.20.118        27967            1
CAMSCMDP01       Packages$    kassu01          7.34.208.29          29883            1
CAMSCMDP02       Packages$    I0243326         7.33.25.114          709              0
CAMSCMDP02       Packages$    X003288A         7.16.136.39          1560             1
CAMSCMDP02       Packages$    NM27120ADM       7.16.140.18          9912             3
CAMSCMDP02       Packages$    huso01           10.1.212.33          1709             1
CAMSCMDP02       Packages$    bog-arojas       155.65.202.149       1339             1
CAMSCMDP02       Packages$    I0243326         7.33.25.114          6757             1
CAMSCMDP02       Packages$    E0274672         7.33.24.133          8540             1
CAISCMSEC01      Packages$    eg900058         7.26.102.244         0                2
CAISCMSEC01      Packages$    eg900058         7.26.102.244         11               2
CF1SWSCCMP01     Packages$    X000940A         157.206.162.236      13333            1
CF1SWSCCMP01     Packages$    E0243003_ADM     10.21.107.243        11044            1
CF1SWSCCMP01     Packages$    E0011170         7.26.185.11          2130             1
CF1SWSCCMP01     Packages$    E0283170         7.26.185.12          2045             1
CF1SWSCCMP01     Packages$    E0206502_ADM     172.20.254.50        1104             3
CF1SWSCCMP01     Packages$    E0007373         10.21.107.243        4761             2
CF1SWSCCMP01     Packages$    E0287550         10.20.162.82         21810            1
CF1SWSCCMP01     Packages$    E0243255         10.30.108.163        5195             1
CF1SWSCCMP01     Packages$    e0206502         172.20.255.20        2056             5
CF1SWSCCMP01     Packages$    E0248246         168.124.12.192       2823             1
CF1SWSCCMP01     Packages$    E0258810         7.26.189.23          2395             1
CF1SWSCCMP01     Packages$    E0201333         7.26.218.7           2140             1
CMPSCMSEC01      Packages$    E0184051         7.9.67.16            12082            1
CMPSCMSEC01      Packages$    E0184051         7.9.65.200           21324            3
CMPSCMSEC01      Packages$    E0208019         7.9.65.168           9357             6
CLPWVM91         Packages$    fr53592          168.124.12.190       129              0
CLPWVM91         Packages$    E0277173         7.19.108.54          5853             1
CLPWVM91         Packages$    E0276643         172.24.214.155       8015             1
CLPWVM91         Packages$    fr07856          172.24.198.191       5036             1
CLPWVM91         Packages$    E0214807         7.19.108.184         3764             1
CLPWVM91         Packages$    E0214839         7.25.170.100         342              1
CLPWVM91         Packages$    E0187812         7.24.150.97          4614             1
CLPWVM91         Packages$    E0243173         172.24.214.158       3805             1
CLPWVM91         Packages$    E0280761         172.24.213.9         525              5
CLPWVM91         Packages$    fr05354          172.24.202.159       2869             1
CLPWVM91         Packages$    E0280780         7.19.25.211          2911             1
CLPWVM91         Packages$    E0290003         7.19.110.68          5181             1
CLPWVM91         Packages$    E0266701         172.24.213.31        7996             1
CLPWVM91         Packages$    FR22089D         7.19.102.38          24799            1
CPVSCMSEC01      Packages$    E0258175         7.26.200.155         1024             1
CRBSCMSEC01      Packages$    E0267420         7.26.15.18           8393             1
CRBSCMSEC01      Packages$    E0279382         7.73.17.232          2419             1
CRBSCMSEC01      Packages$    FR60822          7.25.135.31          8248             1
CRBSCMSEC01      Packages$    FRX02991         7.26.245.63          41294            1
CRBSCMSEC01      Packages$    E0289206         7.26.15.29           703              1
CRBSCMSEC01      Packages$    Mazenc           10.21.154.67         3188             1
CRBSCMSEC01      Packages$    E0237808         7.73.17.21           3040             1
CRBSCMSEC01      Packages$    E0278191         7.73.37.67           18989            1
CROSCMSEC01      Packages$    E0294650         7.24.144.88          8908             1
XSPW10T240W      Packages$    E0228895         7.27.33.45           3452             1
XSPW10T240W      Packages$    CA310113         7.33.66.50           518              1
XSPW10T240W      Packages$    E0225174         7.33.55.95           14               0
XSPW10T240W      Packages$    NM31938          7.32.151.138         1634             1
XSPW10T240W      Packages$    I0197337         7.33.24.234          46120            1
XSPW10T240W      Packages$    I0275442         7.33.24.189          9395             1
XSPW10T240W      Packages$    E0182508         7.4.32.154           0                3
XSPW10T240W      Packages$    I0208227         7.33.24.106          9536             1
XSPW10T240W      Packages$    E0287941         7.25.135.16          3250             1
XSPW10T240W      Packages$    E0278434         10.8.23.184          1744             1
XSPW10T240W      Packages$    rumatzj          155.65.200.100       63414            2
XSPW10T240W      Packages$    nasariod         10.8.22.80           2855             1
XSPW10T240W      Packages$    E0264241         7.33.24.92           828              1
XSPW10T240W      Packages$    E0165044         7.33.82.22           16785            1
XSPW10T240W      Packages$    E0278197         155.65.202.241       40884            1
XSPW10T240W      Packages$    NM27405ADM       7.33.146.137         2952             9
XSPW10T240W      Packages$    E0257762         7.33.82.37           179              0
XSPW10T240W      Packages$    I0156186         155.65.205.85        892              1
XSPW10T240W      Packages$    CA312862         7.33.66.65           3523             1
XSPW10T240W      Packages$    CA310079         7.33.66.35           14548            1
XSPW10T240W      Packages$    I0253998         157.206.253.164      540              1
XSPW10T240W      Packages$    E0164144         7.4.32.154           1                6
XSPW10T240W      Packages$    E0261002         7.32.126.28          4200             1
XSPW10T240W      Packages$    HarrisJ          10.12.65.135         0                10
XSPW10T240W      Packages$    I0250122         7.33.146.137         2853             3
XSPW10T240W      Packages$    E0269184         7.33.46.116          66               1
